year,industry1,industry2,industry3,incidence_of_retrenchment
2019,services,"community, social and personal services",health and social services,0.9
2019,services,"community, social and personal services","arts, entertainment and recreation",0.5
2019,services,"community, social and personal services","other community, social and personal services",2.6
2019,others,others,others,1.4
2020,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10.9
2020,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",13.4
2020,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",5.2
2020,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",17.4
2020,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",11.2
2020,manufacturing,transport equipment,transport equipment,25.5
2020,manufacturing,other manufacturing industries,other manufacturing industries,19.1
2020,construction,construction,construction,3.7
2020,services,wholesale and retail trade,wholesale trade,24.3
2020,services,wholesale and retail trade,retail trade,16.9
2020,services,transportation and storage,land transport and supporting services,3
2020,services,transportation and storage,water transport and supporting services,8.3
2020,services,transportation and storage,air transport and supporting services,61.5
2020,services,transportation and storage,other transportation services,9.2
2020,services,accommodation and food services,accommodation,31.3
2020,services,accommodation and food services,food and beverage services,9.4
2020,services,information and communications,"telecommunications, broadcasting and publishing",21.9
2020,services,information and communications,it and other information services,14
2020,services,financial and insurance services,financial services,15.5
2020,services,financial and insurance services,insurance services,12.5
2020,services,real estate services,real estate services,3.3
2020,services,professional services,"legal, accounting and management services",15.2
2020,services,professional services,architectural and engineering services,17.7
2020,services,professional services,other professional services,18.6
2020,services,administrative and support services,security and investigation,0.1
2020,services,administrative and support services,cleaning and landscaping,3.8
2020,services,administrative and support services,other adminstrative and support services,33.8
2020,services,"community, social and personal services",public administration and education,1.2
2020,services,"community, social and personal services",health and social services,0.4
2020,services,"community, social and personal services","arts, entertainment and recreation",59.2
2020,services,"community, social and personal services","other community, social and personal services",6
2020,others,others,others,1.8
2021,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.5
2021,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",4.6
2021,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",19
2021,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",2.2
2021,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",12.3
2021,manufacturing,transport equipment,transport equipment,2.6
2021,manufacturing,other manufacturing industries,other manufacturing industries,2.3
2021,construction,construction,construction,1.1
2021,services,wholesale and retail trade,wholesale trade,9
2021,services,wholesale and retail trade,retail trade,2.4
2021,services,transportation and storage,land transport and supporting services,1.3
2021,services,transportation and storage,water transport and supporting services,4.9
2021,services,transportation and storage,air transport and supporting services,8.2
2021,services,transportation and storage,other transportation services,3.2
2021,services,accommodation and food services,accommodation,2.8
2021,services,accommodation and food services,food and beverage services,1.3
2021,services,information and communications,"telecommunications, broadcasting and publishing",17.9
2021,services,information and communications,it and other information services,12
2021,services,financial and insurance services,financial services,10.8
2021,services,financial and insurance services,insurance services,5.3
2021,services,real estate services,real estate services,2.8
2021,services,professional services,"legal, accounting and management services",9.4
2021,services,professional services,architectural and engineering services,4.1
2021,services,professional services,other professional services,5.6
2021,services,administrative and support services,security and investigation,0.2
2021,services,administrative and support services,cleaning and landscaping,0.3
2021,services,administrative and support services,other adminstrative and support services,8.7
2021,services,"community, social and personal services",public administration and education,0.3
2021,services,"community, social and personal services",health and social services,0.1
2021,services,"community, social and personal services","arts, entertainment and recreation",2.4
2021,services,"community, social and personal services","other community, social and personal services",1
2021,others,others,others,2.4
