quarter,industry1,industry2,industry3,overtime_paid_hours
2007-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3
2007-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",9.6
2007-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",6
2007-Q4,manufacturing,transport equipment,transport equipment,9.6
2007-Q4,manufacturing,other manufacturing industries,other manufacturing industries,7.3
2007-Q4,construction,construction,construction,7.2
2007-Q4,services,wholesale and retail trade,wholesale trade,2
2007-Q4,services,wholesale and retail trade,retail trade,1.9
2007-Q4,services,transportation and storage,land transport and supporting services,4.7
2007-Q4,services,transportation and storage,water transport and supporting services,2.3
2007-Q4,services,transportation and storage,air transport and supporting services,2.3
2007-Q4,services,transportation and storage,other transport and storage services,4
2007-Q4,services,accommodation and food services,accommodation,2.2
2007-Q4,services,accommodation and food services,food and beverage services,1.2
2007-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.7
2007-Q4,services,information and communications,it and other information services,0.2
2007-Q4,services,financial and insurance services,financial services,0.7
2007-Q4,services,financial and insurance services,insurance services,0.6
2007-Q4,services,real estate services,real estate services,1.3
2007-Q4,services,professional services,"legal, accounting and management services",1.3
2007-Q4,services,professional services,architectural and engineering services,4.3
2007-Q4,services,professional services,other professional services,0.4
2007-Q4,services,administrative and support services,security and investigation,10
2007-Q4,services,administrative and support services,cleaning and landscaping,1.5
2007-Q4,services,administrative and support services,other adminstrative and support services,3
2007-Q4,services,"community, social and personal services",public administration and education,0.1
2007-Q4,services,"community, social and personal services",health and social services,0.7
2007-Q4,services,"community, social and personal services","arts, entertainment and recreation",1
2007-Q4,services,"community, social and personal services","other community, social and personal services",1
2007-Q4,others,others,others,2.3
2008-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",5.2
2008-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",6.7
2008-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.3
2008-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",9.1
2008-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",6.1
2008-Q1,manufacturing,transport equipment,transport equipment,9.3
2008-Q1,manufacturing,other manufacturing industries,other manufacturing industries,6.5
2008-Q1,construction,construction,construction,7.4
2008-Q1,services,wholesale and retail trade,wholesale trade,2
2008-Q1,services,wholesale and retail trade,retail trade,2.1
2008-Q1,services,transportation and storage,land transport and supporting services,4.6
2008-Q1,services,transportation and storage,water transport and supporting services,1.9
2008-Q1,services,transportation and storage,air transport and supporting services,2.2
2008-Q1,services,transportation and storage,other transport and storage services,3.7
2008-Q1,services,accommodation and food services,accommodation,1.7
2008-Q1,services,accommodation and food services,food and beverage services,1
2008-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.7
2008-Q1,services,information and communications,it and other information services,0.3
2008-Q1,services,financial and insurance services,financial services,0.4
2008-Q1,services,financial and insurance services,insurance services,0.4
2008-Q1,services,real estate services,real estate services,1.2
2008-Q1,services,professional services,"legal, accounting and management services",1.4
2008-Q1,services,professional services,architectural and engineering services,4.6
2008-Q1,services,professional services,other professional services,0.6
2008-Q1,services,administrative and support services,security and investigation,9.6
2008-Q1,services,administrative and support services,cleaning and landscaping,1.4
2008-Q1,services,administrative and support services,other adminstrative and support services,3.3
2008-Q1,services,"community, social and personal services",public administration and education,0.2
2008-Q1,services,"community, social and personal services",health and social services,0.5
2008-Q1,services,"community, social and personal services","arts, entertainment and recreation",1.1
2008-Q1,services,"community, social and personal services","other community, social and personal services",1.2
2008-Q1,others,others,others,2
2008-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.7
2008-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",6.7
2008-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.4
2008-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",9.1
2008-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",5.2
2008-Q2,manufacturing,transport equipment,transport equipment,9.1
2008-Q2,manufacturing,other manufacturing industries,other manufacturing industries,6.3
2008-Q2,construction,construction,construction,7.7
2008-Q2,services,wholesale and retail trade,wholesale trade,2.1
2008-Q2,services,wholesale and retail trade,retail trade,2.1
2008-Q2,services,transportation and storage,land transport and supporting services,4.5
2008-Q2,services,transportation and storage,water transport and supporting services,3.3
2008-Q2,services,transportation and storage,air transport and supporting services,1.3
2008-Q2,services,transportation and storage,other transport and storage services,4.2
2008-Q2,services,accommodation and food services,accommodation,1.4
2008-Q2,services,accommodation and food services,food and beverage services,1.2
2008-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.6
2008-Q2,services,information and communications,it and other information services,0.3
2008-Q2,services,financial and insurance services,financial services,0.7
2008-Q2,services,financial and insurance services,insurance services,0.7
2008-Q2,services,real estate services,real estate services,1.4
2008-Q2,services,professional services,"legal, accounting and management services",1.4
2008-Q2,services,professional services,architectural and engineering services,4.5
2008-Q2,services,professional services,other professional services,0.5
2008-Q2,services,administrative and support services,security and investigation,10.1
2008-Q2,services,administrative and support services,cleaning and landscaping,1.7
2008-Q2,services,administrative and support services,other adminstrative and support services,4.1
2008-Q2,services,"community, social and personal services",public administration and education,0.2
2008-Q2,services,"community, social and personal services",health and social services,0.5
2008-Q2,services,"community, social and personal services","arts, entertainment and recreation",1
2008-Q2,services,"community, social and personal services","other community, social and personal services",1.4
2008-Q2,others,others,others,3.3
2008-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.3
2008-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",6.9
2008-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.2
2008-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",9.2
2008-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",5.2
2008-Q3,manufacturing,transport equipment,transport equipment,9.3
2008-Q3,manufacturing,other manufacturing industries,other manufacturing industries,6.5
2008-Q3,construction,construction,construction,7.9
2008-Q3,services,wholesale and retail trade,wholesale trade,2
2008-Q3,services,wholesale and retail trade,retail trade,2.1
2008-Q3,services,transportation and storage,land transport and supporting services,4.3
2008-Q3,services,transportation and storage,water transport and supporting services,2.5
2008-Q3,services,transportation and storage,air transport and supporting services,2.1
2008-Q3,services,transportation and storage,other transport and storage services,3.9
2008-Q3,services,accommodation and food services,accommodation,1.4
2008-Q3,services,accommodation and food services,food and beverage services,1.2
2008-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.5
2008-Q3,services,information and communications,it and other information services,0.3
2008-Q3,services,financial and insurance services,financial services,0.7
2008-Q3,services,financial and insurance services,insurance services,0.4
2008-Q3,services,real estate services,real estate services,1.5
2008-Q3,services,professional services,"legal, accounting and management services",1.1
2008-Q3,services,professional services,architectural and engineering services,3.8
2008-Q3,services,professional services,other professional services,0.9
2008-Q3,services,administrative and support services,security and investigation,10
2008-Q3,services,administrative and support services,cleaning and landscaping,1.7
2008-Q3,services,administrative and support services,other adminstrative and support services,2.9
2008-Q3,services,"community, social and personal services",public administration and education,0.1
2008-Q3,services,"community, social and personal services",health and social services,0.4
2008-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.9
2008-Q3,services,"community, social and personal services","other community, social and personal services",1.3
2008-Q3,others,others,others,3.7
2008-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.6
2008-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",5.2
2008-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.5
2008-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",7.7
2008-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2.2
2008-Q4,manufacturing,transport equipment,transport equipment,8.9
2008-Q4,manufacturing,other manufacturing industries,other manufacturing industries,6
2008-Q4,construction,construction,construction,7.6
2008-Q4,services,wholesale and retail trade,wholesale trade,1.8
2008-Q4,services,wholesale and retail trade,retail trade,2.2
2008-Q4,services,transportation and storage,land transport and supporting services,4.2
2008-Q4,services,transportation and storage,water transport and supporting services,2.6
2008-Q4,services,transportation and storage,air transport and supporting services,1.3
2008-Q4,services,transportation and storage,other transport and storage services,3.2
2008-Q4,services,accommodation and food services,accommodation,1.4
2008-Q4,services,accommodation and food services,food and beverage services,1.1
2008-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.7
2008-Q4,services,information and communications,it and other information services,0.1
2008-Q4,services,financial and insurance services,financial services,0.7
2008-Q4,services,financial and insurance services,insurance services,0.5
2008-Q4,services,real estate services,real estate services,1.5
2008-Q4,services,professional services,"legal, accounting and management services",0.9
2008-Q4,services,professional services,architectural and engineering services,3.3
2008-Q4,services,professional services,other professional services,0.7
2008-Q4,services,administrative and support services,security and investigation,9.8
2008-Q4,services,administrative and support services,cleaning and landscaping,1.5
2008-Q4,services,administrative and support services,other adminstrative and support services,1.8
2008-Q4,services,"community, social and personal services",public administration and education,0.1
2008-Q4,services,"community, social and personal services",health and social services,0.5
2008-Q4,services,"community, social and personal services","arts, entertainment and recreation",0.9
2008-Q4,services,"community, social and personal services","other community, social and personal services",1.1
2008-Q4,others,others,others,3.8
2009-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.2
2009-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",3.6
2009-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.3
2009-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",6.8
2009-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1.1
2009-Q1,manufacturing,transport equipment,transport equipment,8.5
2009-Q1,manufacturing,other manufacturing industries,other manufacturing industries,5.2
2009-Q1,construction,construction,construction,7.5
2009-Q1,services,wholesale and retail trade,wholesale trade,1.5
2009-Q1,services,wholesale and retail trade,retail trade,1.8
2009-Q1,services,transportation and storage,land transport and supporting services,4
2009-Q1,services,transportation and storage,water transport and supporting services,1.9
2009-Q1,services,transportation and storage,air transport and supporting services,1
2009-Q1,services,transportation and storage,other transport and storage services,2.2
2009-Q1,services,accommodation and food services,accommodation,1
2009-Q1,services,accommodation and food services,food and beverage services,1
2009-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.4
2009-Q1,services,information and communications,it and other information services,0.1
2009-Q1,services,financial and insurance services,financial services,0.6
2009-Q1,services,financial and insurance services,insurance services,0.5
2009-Q1,services,real estate services,real estate services,1.7
2009-Q1,services,professional services,"legal, accounting and management services",0.8
2009-Q1,services,professional services,architectural and engineering services,3.4
2009-Q1,services,professional services,other professional services,0.6
2009-Q1,services,administrative and support services,security and investigation,10.2
2009-Q1,services,administrative and support services,cleaning and landscaping,1.3
2009-Q1,services,administrative and support services,other adminstrative and support services,1.8
2009-Q1,services,"community, social and personal services",public administration and education,0.2
2009-Q1,services,"community, social and personal services",health and social services,0.4
2009-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.7
2009-Q1,services,"community, social and personal services","other community, social and personal services",0.9
2009-Q1,others,others,others,3.3
2009-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.8
2009-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",5.6
2009-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3
2009-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",7.3
2009-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",3.3
2009-Q2,manufacturing,transport equipment,transport equipment,7.3
2009-Q2,manufacturing,other manufacturing industries,other manufacturing industries,5.6
2009-Q2,construction,construction,construction,7.4
2009-Q2,services,wholesale and retail trade,wholesale trade,1.8
2009-Q2,services,wholesale and retail trade,retail trade,2.3
2009-Q2,services,transportation and storage,land transport and supporting services,3.6
2009-Q2,services,transportation and storage,water transport and supporting services,2
2009-Q2,services,transportation and storage,air transport and supporting services,1.4
2009-Q2,services,transportation and storage,other transport and storage services,2.7
2009-Q2,services,accommodation and food services,accommodation,1
2009-Q2,services,accommodation and food services,food and beverage services,1.4
2009-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.7
2009-Q2,services,information and communications,it and other information services,0.1
2009-Q2,services,financial and insurance services,financial services,0.6
2009-Q2,services,financial and insurance services,insurance services,0.5
2009-Q2,services,real estate services,real estate services,1.7
2009-Q2,services,professional services,"legal, accounting and management services",0.8
2009-Q2,services,professional services,architectural and engineering services,3.4
2009-Q2,services,professional services,other professional services,0.6
2009-Q2,services,administrative and support services,security and investigation,9.7
2009-Q2,services,administrative and support services,cleaning and landscaping,1.2
2009-Q2,services,administrative and support services,other adminstrative and support services,1.7
2009-Q2,services,"community, social and personal services",public administration and education,0.1
2009-Q2,services,"community, social and personal services",health and social services,0.4
2009-Q2,services,"community, social and personal services","arts, entertainment and recreation",0.8
2009-Q2,services,"community, social and personal services","other community, social and personal services",0.8
2009-Q2,others,others,others,3.7
2009-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.7
2009-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",6
2009-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.7
2009-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",7.9
2009-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",4.8
2009-Q3,manufacturing,transport equipment,transport equipment,8.2
2009-Q3,manufacturing,other manufacturing industries,other manufacturing industries,6.9
2009-Q3,construction,construction,construction,7.5
2009-Q3,services,wholesale and retail trade,wholesale trade,1.7
2009-Q3,services,wholesale and retail trade,retail trade,1.9
2009-Q3,services,transportation and storage,land transport and supporting services,4
2009-Q3,services,transportation and storage,water transport and supporting services,1.6
2009-Q3,services,transportation and storage,air transport and supporting services,1.1
2009-Q3,services,transportation and storage,other transport and storage services,3.4
2009-Q3,services,accommodation and food services,accommodation,1.2
2009-Q3,services,accommodation and food services,food and beverage services,1.3
2009-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.7
2009-Q3,services,information and communications,it and other information services,0.2
2009-Q3,services,financial and insurance services,financial services,0.6
2009-Q3,services,financial and insurance services,insurance services,0.4
2009-Q3,services,real estate services,real estate services,1.6
2009-Q3,services,professional services,"legal, accounting and management services",0.8
2009-Q3,services,professional services,architectural and engineering services,3.5
2009-Q3,services,professional services,other professional services,0.9
2009-Q3,services,administrative and support services,security and investigation,12
2009-Q3,services,administrative and support services,cleaning and landscaping,1.7
2009-Q3,services,administrative and support services,other adminstrative and support services,3.2
2009-Q3,services,"community, social and personal services",public administration and education,0.1
2009-Q3,services,"community, social and personal services",health and social services,0.5
2009-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.7
2009-Q3,services,"community, social and personal services","other community, social and personal services",1.2
2009-Q3,others,others,others,3.6
2009-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.1
2009-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",6.4
2009-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.4
2009-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",8.3
2009-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",5.3
2009-Q4,manufacturing,transport equipment,transport equipment,9.4
2009-Q4,manufacturing,other manufacturing industries,other manufacturing industries,7.2
2009-Q4,construction,construction,construction,7.5
2009-Q4,services,wholesale and retail trade,wholesale trade,1.6
2009-Q4,services,wholesale and retail trade,retail trade,2
2009-Q4,services,transportation and storage,land transport and supporting services,3.6
2009-Q4,services,transportation and storage,water transport and supporting services,2
2009-Q4,services,transportation and storage,air transport and supporting services,1.3
2009-Q4,services,transportation and storage,other transport and storage services,3.7
2009-Q4,services,accommodation and food services,accommodation,1.6
2009-Q4,services,accommodation and food services,food and beverage services,1
2009-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.9
2009-Q4,services,information and communications,it and other information services,0.1
2009-Q4,services,financial and insurance services,financial services,0.6
2009-Q4,services,financial and insurance services,insurance services,0.4
2009-Q4,services,real estate services,real estate services,1.8
2009-Q4,services,professional services,"legal, accounting and management services",0.7
2009-Q4,services,professional services,architectural and engineering services,2.5
2009-Q4,services,professional services,other professional services,0.6
2009-Q4,services,administrative and support services,security and investigation,10.6
2009-Q4,services,administrative and support services,cleaning and landscaping,1.3
2009-Q4,services,administrative and support services,other adminstrative and support services,2.9
2009-Q4,services,"community, social and personal services",public administration and education,0.1
2009-Q4,services,"community, social and personal services",health and social services,0.5
2009-Q4,services,"community, social and personal services","arts, entertainment and recreation",0.9
2009-Q4,services,"community, social and personal services","other community, social and personal services",1.5
2009-Q4,others,others,others,3.1
2010-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.6
2010-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",6.2
2010-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.3
2010-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",8.5
2010-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",4.9
2010-Q1,manufacturing,transport equipment,transport equipment,9.9
2010-Q1,manufacturing,other manufacturing industries,other manufacturing industries,6.9
2010-Q1,construction,construction,construction,7.3
2010-Q1,services,wholesale and retail trade,wholesale trade,1.6
2010-Q1,services,wholesale and retail trade,retail trade,2.2
2010-Q1,services,transportation and storage,land transport and supporting services,4
2010-Q1,services,transportation and storage,water transport and supporting services,2
2010-Q1,services,transportation and storage,air transport and supporting services,2.1
2010-Q1,services,transportation and storage,other transport and storage services,3.5
2010-Q1,services,accommodation and food services,accommodation,1.6
2010-Q1,services,accommodation and food services,food and beverage services,1
2010-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.9
2010-Q1,services,information and communications,it and other information services,0.2
2010-Q1,services,financial and insurance services,financial services,0.2
2010-Q1,services,financial and insurance services,insurance services,0.3
2010-Q1,services,real estate services,real estate services,2
2010-Q1,services,professional services,"legal, accounting and management services",0.8
2010-Q1,services,professional services,architectural and engineering services,2.9
2010-Q1,services,professional services,other professional services,0.6
2010-Q1,services,administrative and support services,security and investigation,10.6
2010-Q1,services,administrative and support services,cleaning and landscaping,1.6
2010-Q1,services,administrative and support services,other adminstrative and support services,3.7
2010-Q1,services,"community, social and personal services",public administration and education,0.1
2010-Q1,services,"community, social and personal services",health and social services,0.6
2010-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.6
2010-Q1,services,"community, social and personal services","other community, social and personal services",1.7
2010-Q1,others,others,others,2.9
2010-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.5
2010-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",7.3
2010-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.7
2010-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",9.3
2010-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",5
2010-Q2,manufacturing,transport equipment,transport equipment,10.1
2010-Q2,manufacturing,other manufacturing industries,other manufacturing industries,6.8
2010-Q2,construction,construction,construction,7.6
2010-Q2,services,wholesale and retail trade,wholesale trade,1.6
2010-Q2,services,wholesale and retail trade,retail trade,2.1
2010-Q2,services,transportation and storage,land transport and supporting services,3.9
2010-Q2,services,transportation and storage,water transport and supporting services,1.8
2010-Q2,services,transportation and storage,air transport and supporting services,1.8
2010-Q2,services,transportation and storage,other transport and storage services,4
2010-Q2,services,accommodation and food services,accommodation,1.8
2010-Q2,services,accommodation and food services,food and beverage services,1
2010-Q2,services,information and communications,"telecommunications, broadcasting and publishing",1
2010-Q2,services,information and communications,it and other information services,0.2
2010-Q2,services,financial and insurance services,financial services,0.2
2010-Q2,services,financial and insurance services,insurance services,0.7
2010-Q2,services,real estate services,real estate services,2.1
2010-Q2,services,professional services,"legal, accounting and management services",0.7
2010-Q2,services,professional services,architectural and engineering services,2.6
2010-Q2,services,professional services,other professional services,0.9
2010-Q2,services,administrative and support services,security and investigation,11.5
2010-Q2,services,administrative and support services,cleaning and landscaping,1.9
2010-Q2,services,administrative and support services,other adminstrative and support services,2.9
2010-Q2,services,"community, social and personal services",public administration and education,0.1
2010-Q2,services,"community, social and personal services",health and social services,0.5
2010-Q2,services,"community, social and personal services","arts, entertainment and recreation",1.3
2010-Q2,services,"community, social and personal services","other community, social and personal services",1.6
2010-Q2,others,others,others,3.2
2010-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.3
2010-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",6.5
2010-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3
2010-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",9.2
2010-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",5.2
2010-Q3,manufacturing,transport equipment,transport equipment,8.8
2010-Q3,manufacturing,other manufacturing industries,other manufacturing industries,6.8
2010-Q3,construction,construction,construction,7.4
2010-Q3,services,wholesale and retail trade,wholesale trade,1.9
2010-Q3,services,wholesale and retail trade,retail trade,2.6
2010-Q3,services,transportation and storage,land transport and supporting services,4.7
2010-Q3,services,transportation and storage,water transport and supporting services,1.8
2010-Q3,services,transportation and storage,air transport and supporting services,1.9
2010-Q3,services,transportation and storage,other transport and storage services,3.8
2010-Q3,services,accommodation and food services,accommodation,1.8
2010-Q3,services,accommodation and food services,food and beverage services,1.4
2010-Q3,services,information and communications,"telecommunications, broadcasting and publishing",1
2010-Q3,services,information and communications,it and other information services,0.3
2010-Q3,services,financial and insurance services,financial services,0.3
2010-Q3,services,financial and insurance services,insurance services,0.3
2010-Q3,services,real estate services,real estate services,2.1
2010-Q3,services,professional services,"legal, accounting and management services",0.7
2010-Q3,services,professional services,architectural and engineering services,3.3
2010-Q3,services,professional services,other professional services,1.3
2010-Q3,services,administrative and support services,security and investigation,10.3
2010-Q3,services,administrative and support services,cleaning and landscaping,2.1
2010-Q3,services,administrative and support services,other adminstrative and support services,3.3
2010-Q3,services,"community, social and personal services",public administration and education,0.1
2010-Q3,services,"community, social and personal services",health and social services,0.4
2010-Q3,services,"community, social and personal services","arts, entertainment and recreation",1
2010-Q3,services,"community, social and personal services","other community, social and personal services",1.6
2010-Q3,others,others,others,3.8
2010-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.8
2010-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",5.7
2010-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.3
2010-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",8.6
2010-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",5.1
2010-Q4,manufacturing,transport equipment,transport equipment,9.7
2010-Q4,manufacturing,other manufacturing industries,other manufacturing industries,7.3
2010-Q4,construction,construction,construction,7.6
2010-Q4,services,wholesale and retail trade,wholesale trade,1.8
2010-Q4,services,wholesale and retail trade,retail trade,2
2010-Q4,services,transportation and storage,land transport and supporting services,4.7
2010-Q4,services,transportation and storage,water transport and supporting services,1.8
2010-Q4,services,transportation and storage,air transport and supporting services,0.7
2010-Q4,services,transportation and storage,other transport and storage services,4.1
2010-Q4,services,accommodation and food services,accommodation,1.8
2010-Q4,services,accommodation and food services,food and beverage services,1.4
2010-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.5
2010-Q4,services,information and communications,it and other information services,0.1
2010-Q4,services,financial and insurance services,financial services,0.2
2010-Q4,services,financial and insurance services,insurance services,1
2010-Q4,services,real estate services,real estate services,2.1
2010-Q4,services,professional services,"legal, accounting and management services",0.6
2010-Q4,services,professional services,architectural and engineering services,3.2
2010-Q4,services,professional services,other professional services,1.7
2010-Q4,services,administrative and support services,security and investigation,9.7
2010-Q4,services,administrative and support services,cleaning and landscaping,2.2
2010-Q4,services,administrative and support services,other adminstrative and support services,3.7
2010-Q4,services,"community, social and personal services",public administration and education,0.1
2010-Q4,services,"community, social and personal services",health and social services,0.5
2010-Q4,services,"community, social and personal services","arts, entertainment and recreation",1
2010-Q4,services,"community, social and personal services","other community, social and personal services",2.3
2010-Q4,others,others,others,3.4
2011-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.6
2011-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",5.9
2011-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.1
2011-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",8.7
2011-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",4.7
2011-Q1,manufacturing,transport equipment,transport equipment,9.5
2011-Q1,manufacturing,other manufacturing industries,other manufacturing industries,7.2
2011-Q1,construction,construction,construction,7.8
2011-Q1,services,wholesale and retail trade,wholesale trade,1.5
2011-Q1,services,wholesale and retail trade,retail trade,1.9
2011-Q1,services,transportation and storage,land transport and supporting services,4.3
2011-Q1,services,transportation and storage,water transport and supporting services,1.8
2011-Q1,services,transportation and storage,air transport and supporting services,2.2
2011-Q1,services,transportation and storage,other transport and storage services,4
2011-Q1,services,accommodation and food services,accommodation,1.7
2011-Q1,services,accommodation and food services,food and beverage services,1.4
2011-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.4
2011-Q1,services,information and communications,it and other information services,0.1
2011-Q1,services,financial and insurance services,financial services,0.2
2011-Q1,services,financial and insurance services,insurance services,0.4
2011-Q1,services,real estate services,real estate services,2.1
2011-Q1,services,professional services,"legal, accounting and management services",0.5
2011-Q1,services,professional services,architectural and engineering services,3
2011-Q1,services,professional services,other professional services,2
2011-Q1,services,administrative and support services,security and investigation,10
2011-Q1,services,administrative and support services,cleaning and landscaping,2.3
2011-Q1,services,administrative and support services,other adminstrative and support services,3.6
2011-Q1,services,"community, social and personal services",public administration and education,0.1
2011-Q1,services,"community, social and personal services",health and social services,0.6
2011-Q1,services,"community, social and personal services","arts, entertainment and recreation",1
2011-Q1,services,"community, social and personal services","other community, social and personal services",1.9
2011-Q1,others,others,others,2.9
2011-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",5.8
2011-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",5.8
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.5
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",9
2011-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",4.7
2011-Q2,manufacturing,transport equipment,transport equipment,8.9
2011-Q2,manufacturing,other manufacturing industries,other manufacturing industries,7.2
2011-Q2,construction,construction,construction,7.9
2011-Q2,services,wholesale and retail trade,wholesale trade,1.5
2011-Q2,services,wholesale and retail trade,retail trade,1.9
2011-Q2,services,transportation and storage,land transport and supporting services,4.4
2011-Q2,services,transportation and storage,water transport and supporting services,2
2011-Q2,services,transportation and storage,air transport and supporting services,1.9
2011-Q2,services,transportation and storage,other transport and storage services,4.6
