quarter,industry1,industry2,industry3,total_paid_hours
1992-Q3,manufacturing,paper products and publishing,paper products and publishing,49.3
1992-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,47.9
1992-Q3,manufacturing,rubber and plastic products,rubber and plastic products,49.8
1992-Q3,manufacturing,fabricated metal products,fabricated metal products,51
1992-Q3,manufacturing,machinery and equipment,machinery and equipment,50.7
1992-Q3,manufacturing,electrical products,electrical products,48.1
1992-Q3,manufacturing,electronic products,electronic products,47.2
1992-Q3,manufacturing,medical and precision instruments,medical and precision instruments,46.2
1992-Q3,manufacturing,transport equipment,transport equipment,52.3
1992-Q3,manufacturing,other manufacturing industries,other manufacturing industries,49.6
1992-Q3,construction,construction,construction,50.5
1992-Q3,services,wholesale and retail trade,wholesale trade,44.1
1992-Q3,services,wholesale and retail trade,retail trade,42.9
1992-Q3,services,hotels and restaurants,hotels,45.1
1992-Q3,services,hotels and restaurants,restaurants,35.9
1992-Q3,services,"transport, storage and communications","transport, storage and communications",46.8
1992-Q3,services,financial intermediation,financial institutions,43.8
1992-Q3,services,financial intermediation,insurance and pension funding,40.7
1992-Q3,services,business and real estate services,business and real estate services,44.6
1992-Q3,services,"community, social and personal services","community, social and personal services",42
1992-Q3,others,others,others,46.6
1992-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.1
1992-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,49.6
1992-Q4,manufacturing,paper products and publishing,paper products and publishing,48.5
1992-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,47.6
1992-Q4,manufacturing,rubber and plastic products,rubber and plastic products,48.9
1992-Q4,manufacturing,fabricated metal products,fabricated metal products,50.3
1992-Q4,manufacturing,machinery and equipment,machinery and equipment,49.8
1992-Q4,manufacturing,electrical products,electrical products,47
1992-Q4,manufacturing,electronic products,electronic products,46.7
1992-Q4,manufacturing,medical and precision instruments,medical and precision instruments,47.6
1992-Q4,manufacturing,transport equipment,transport equipment,53.3
1992-Q4,manufacturing,other manufacturing industries,other manufacturing industries,49.9
1992-Q4,construction,construction,construction,50
1992-Q4,services,wholesale and retail trade,wholesale trade,44.1
1992-Q4,services,wholesale and retail trade,retail trade,42.6
1992-Q4,services,hotels and restaurants,hotels,45
1992-Q4,services,hotels and restaurants,restaurants,35.2
1992-Q4,services,"transport, storage and communications","transport, storage and communications",45.9
1992-Q4,services,financial intermediation,financial institutions,43.9
1992-Q4,services,financial intermediation,insurance and pension funding,41
1992-Q4,services,business and real estate services,business and real estate services,44.5
1992-Q4,services,"community, social and personal services","community, social and personal services",41.8
1992-Q4,others,others,others,46.1
1993-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.5
1993-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,48.2
1993-Q1,manufacturing,paper products and publishing,paper products and publishing,48.2
1993-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,47.6
1993-Q1,manufacturing,rubber and plastic products,rubber and plastic products,49.5
1993-Q1,manufacturing,fabricated metal products,fabricated metal products,50.4
1993-Q1,manufacturing,machinery and equipment,machinery and equipment,50.1
1993-Q1,manufacturing,electrical products,electrical products,47.7
1993-Q1,manufacturing,electronic products,electronic products,47.3
1993-Q1,manufacturing,medical and precision instruments,medical and precision instruments,46.2
1993-Q1,manufacturing,transport equipment,transport equipment,52.1
1993-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.6
1993-Q1,construction,construction,construction,50.1
1993-Q1,services,wholesale and retail trade,wholesale trade,44
1993-Q1,services,wholesale and retail trade,retail trade,42.5
1993-Q1,services,hotels and restaurants,hotels,44.9
1993-Q1,services,hotels and restaurants,restaurants,35.6
1993-Q1,services,"transport, storage and communications","transport, storage and communications",46.9
1993-Q1,services,financial intermediation,financial institutions,43.8
1993-Q1,services,financial intermediation,insurance and pension funding,40.7
1993-Q1,services,business and real estate services,business and real estate services,44.6
1993-Q1,services,"community, social and personal services","community, social and personal services",41.6
1993-Q1,others,others,others,45.7
1993-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.9
1993-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,48.4
1993-Q2,manufacturing,paper products and publishing,paper products and publishing,49.7
1993-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,48
1993-Q2,manufacturing,rubber and plastic products,rubber and plastic products,50.6
1993-Q2,manufacturing,fabricated metal products,fabricated metal products,50.9
1993-Q2,manufacturing,machinery and equipment,machinery and equipment,50
1993-Q2,manufacturing,electrical products,electrical products,49
1993-Q2,manufacturing,electronic products,electronic products,47.9
1993-Q2,manufacturing,medical and precision instruments,medical and precision instruments,47.1
1993-Q2,manufacturing,transport equipment,transport equipment,53.2
1993-Q2,manufacturing,other manufacturing industries,other manufacturing industries,50.6
1993-Q2,construction,construction,construction,50.5
1993-Q2,services,wholesale and retail trade,wholesale trade,44.2
1993-Q2,services,wholesale and retail trade,retail trade,43
1993-Q2,services,hotels and restaurants,hotels,45.1
1993-Q2,services,hotels and restaurants,restaurants,36.6
1993-Q2,services,"transport, storage and communications","transport, storage and communications",47.1
1993-Q2,services,financial intermediation,financial institutions,44.5
1993-Q2,services,financial intermediation,insurance and pension funding,40.9
1993-Q2,services,business and real estate services,business and real estate services,44.7
1993-Q2,services,"community, social and personal services","community, social and personal services",41.9
1993-Q2,others,others,others,45.7
1993-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.1
1993-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,48.4
1993-Q3,manufacturing,paper products and publishing,paper products and publishing,49.3
1993-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,48.5
1993-Q3,manufacturing,rubber and plastic products,rubber and plastic products,51.4
1993-Q3,manufacturing,fabricated metal products,fabricated metal products,51
1993-Q3,manufacturing,machinery and equipment,machinery and equipment,49.8
1993-Q3,manufacturing,electrical products,electrical products,49.3
1993-Q3,manufacturing,electronic products,electronic products,48.1
1993-Q3,manufacturing,medical and precision instruments,medical and precision instruments,46.7
1993-Q3,manufacturing,transport equipment,transport equipment,53.1
