quarter,industry1,industry2,industry3,total_paid_hours
2007-Q2,services,administrative and support services,security and investigation,54.1
2007-Q2,services,administrative and support services,cleaning and landscaping,44.9
2007-Q2,services,administrative and support services,other adminstrative and support services,45.7
2007-Q2,services,"community, social and personal services",public administration and education,41.5
2007-Q2,services,"community, social and personal services",health and social services,42.1
2007-Q2,services,"community, social and personal services","arts, entertainment and recreation",40.4
2007-Q2,services,"community, social and personal services","other community, social and personal services",43.9
2007-Q2,others,others,others,45.4
2007-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4
2007-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",51
2007-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.4
2007-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",53.1
2007-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",48.2
2007-Q3,manufacturing,transport equipment,transport equipment,53.5
2007-Q3,manufacturing,other manufacturing industries,other manufacturing industries,50
2007-Q3,construction,construction,construction,52.1
2007-Q3,services,wholesale and retail trade,wholesale trade,43.9
2007-Q3,services,wholesale and retail trade,retail trade,43.5
2007-Q3,services,transportation and storage,land transport and supporting services,45.6
2007-Q3,services,transportation and storage,water transport and supporting services,45.2
2007-Q3,services,transportation and storage,air transport and supporting services,43.2
2007-Q3,services,transportation and storage,other transport and storage services,46.4
2007-Q3,services,accommodation and food services,accommodation,45.4
2007-Q3,services,accommodation and food services,food and beverage services,37.9
2007-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.8
2007-Q3,services,information and communications,it and other information services,41.7
2007-Q3,services,financial and insurance services,financial services,42.7
2007-Q3,services,financial and insurance services,insurance services,40.6
2007-Q3,services,real estate services,real estate services,44
2007-Q3,services,professional services,"legal, accounting and management services",42.4
2007-Q3,services,professional services,architectural and engineering services,47.3
2007-Q3,services,professional services,other professional services,42.3
2007-Q3,services,administrative and support services,security and investigation,53.8
2007-Q3,services,administrative and support services,cleaning and landscaping,44.8
2007-Q3,services,administrative and support services,other adminstrative and support services,46.8
2007-Q3,services,"community, social and personal services",public administration and education,41.5
2007-Q3,services,"community, social and personal services",health and social services,41.9
2007-Q3,services,"community, social and personal services","arts, entertainment and recreation",42
2007-Q3,services,"community, social and personal services","other community, social and personal services",43.9
2007-Q3,others,others,others,45.6
2007-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",48.2
2007-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50
2007-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.2
2007-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",53.1
2007-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",48.4
2007-Q4,manufacturing,transport equipment,transport equipment,53.2
2007-Q4,manufacturing,other manufacturing industries,other manufacturing industries,50.1
2007-Q4,construction,construction,construction,51.9
2007-Q4,services,wholesale and retail trade,wholesale trade,43.6
2007-Q4,services,wholesale and retail trade,retail trade,43.3
2007-Q4,services,transportation and storage,land transport and supporting services,47.6
2007-Q4,services,transportation and storage,water transport and supporting services,44.9
2007-Q4,services,transportation and storage,air transport and supporting services,44.4
2007-Q4,services,transportation and storage,other transport and storage services,47.1
2007-Q4,services,accommodation and food services,accommodation,46
2007-Q4,services,accommodation and food services,food and beverage services,38.6
2007-Q4,services,information and communications,"telecommunications, broadcasting and publishing",42.1
2007-Q4,services,information and communications,it and other information services,41.6
2007-Q4,services,financial and insurance services,financial services,42.2
2007-Q4,services,financial and insurance services,insurance services,40.8
2007-Q4,services,real estate services,real estate services,44.1
2007-Q4,services,professional services,"legal, accounting and management services",42.3
2007-Q4,services,professional services,architectural and engineering services,47
2007-Q4,services,professional services,other professional services,42.2
2007-Q4,services,administrative and support services,security and investigation,54.3
2007-Q4,services,administrative and support services,cleaning and landscaping,44.1
2007-Q4,services,administrative and support services,other adminstrative and support services,46.6
2007-Q4,services,"community, social and personal services",public administration and education,41.5
2007-Q4,services,"community, social and personal services",health and social services,42.1
2007-Q4,services,"community, social and personal services","arts, entertainment and recreation",42.3
2007-Q4,services,"community, social and personal services","other community, social and personal services",43.4
2007-Q4,others,others,others,45.2
2008-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.9
2008-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50.1
2008-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.9
2008-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.6
2008-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",48.4
2008-Q1,manufacturing,transport equipment,transport equipment,52.8
2008-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.4
2008-Q1,construction,construction,construction,52.3
2008-Q1,services,wholesale and retail trade,wholesale trade,43.6
2008-Q1,services,wholesale and retail trade,retail trade,43.6
2008-Q1,services,transportation and storage,land transport and supporting services,47.8
2008-Q1,services,transportation and storage,water transport and supporting services,44.9
2008-Q1,services,transportation and storage,air transport and supporting services,44.4
2008-Q1,services,transportation and storage,other transport and storage services,46.8
2008-Q1,services,accommodation and food services,accommodation,45.6
2008-Q1,services,accommodation and food services,food and beverage services,38.1
2008-Q1,services,information and communications,"telecommunications, broadcasting and publishing",42
2008-Q1,services,information and communications,it and other information services,41.6
2008-Q1,services,financial and insurance services,financial services,42
2008-Q1,services,financial and insurance services,insurance services,40.6
2008-Q1,services,real estate services,real estate services,44
2008-Q1,services,professional services,"legal, accounting and management services",42.4
2008-Q1,services,professional services,architectural and engineering services,47.3
2008-Q1,services,professional services,other professional services,42.7
2008-Q1,services,administrative and support services,security and investigation,54.5
2008-Q1,services,administrative and support services,cleaning and landscaping,44.1
2008-Q1,services,administrative and support services,other adminstrative and support services,47
2008-Q1,services,"community, social and personal services",public administration and education,41.4
2008-Q1,services,"community, social and personal services",health and social services,41.7
2008-Q1,services,"community, social and personal services","arts, entertainment and recreation",42.2
2008-Q1,services,"community, social and personal services","other community, social and personal services",43.4
2008-Q1,others,others,others,44.9
2008-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.9
2008-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50.1
2008-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",46
2008-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.6
2008-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",48.1
2008-Q2,manufacturing,transport equipment,transport equipment,52.7
2008-Q2,manufacturing,other manufacturing industries,other manufacturing industries,49.1
2008-Q2,construction,construction,construction,52.6
2008-Q2,services,wholesale and retail trade,wholesale trade,43.7
2008-Q2,services,wholesale and retail trade,retail trade,43.8
2008-Q2,services,transportation and storage,land transport and supporting services,47.8
2008-Q2,services,transportation and storage,water transport and supporting services,46.2
2008-Q2,services,transportation and storage,air transport and supporting services,43.4
2008-Q2,services,transportation and storage,other transport and storage services,47.3
2008-Q2,services,accommodation and food services,accommodation,45.3
2008-Q2,services,accommodation and food services,food and beverage services,39.1
2008-Q2,services,information and communications,"telecommunications, broadcasting and publishing",41.9
2008-Q2,services,information and communications,it and other information services,41.6
2008-Q2,services,financial and insurance services,financial services,42.3
2008-Q2,services,financial and insurance services,insurance services,40.9
2008-Q2,services,real estate services,real estate services,44.1
2008-Q2,services,professional services,"legal, accounting and management services",42.3
2008-Q2,services,professional services,architectural and engineering services,47.1
2008-Q2,services,professional services,other professional services,42.1
2008-Q2,services,administrative and support services,security and investigation,54.3
2008-Q2,services,administrative and support services,cleaning and landscaping,44.3
2008-Q2,services,administrative and support services,other adminstrative and support services,47.4
2008-Q2,services,"community, social and personal services",public administration and education,41.4
2008-Q2,services,"community, social and personal services",health and social services,42
2008-Q2,services,"community, social and personal services","arts, entertainment and recreation",42.1
2008-Q2,services,"community, social and personal services","other community, social and personal services",43.9
2008-Q2,others,others,others,46.3
2008-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.1
2008-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50.2
2008-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.6
2008-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.8
2008-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.8
2008-Q3,manufacturing,transport equipment,transport equipment,53.2
2008-Q3,manufacturing,other manufacturing industries,other manufacturing industries,49.6
2008-Q3,construction,construction,construction,52.7
2008-Q3,services,wholesale and retail trade,wholesale trade,43.8
2008-Q3,services,wholesale and retail trade,retail trade,43.8
2008-Q3,services,transportation and storage,land transport and supporting services,47.6
2008-Q3,services,transportation and storage,water transport and supporting services,45.6
2008-Q3,services,transportation and storage,air transport and supporting services,44.3
2008-Q3,services,transportation and storage,other transport and storage services,47.1
2008-Q3,services,accommodation and food services,accommodation,45.3
2008-Q3,services,accommodation and food services,food and beverage services,41.2
2008-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2008-Q3,services,information and communications,it and other information services,41.6
2008-Q3,services,financial and insurance services,financial services,42.5
2008-Q3,services,financial and insurance services,insurance services,40.3
2008-Q3,services,real estate services,real estate services,44.3
2008-Q3,services,professional services,"legal, accounting and management services",41.7
2008-Q3,services,professional services,architectural and engineering services,46.5
2008-Q3,services,professional services,other professional services,42.4
2008-Q3,services,administrative and support services,security and investigation,55
2008-Q3,services,administrative and support services,cleaning and landscaping,43.9
2008-Q3,services,administrative and support services,other adminstrative and support services,45.9
2008-Q3,services,"community, social and personal services",public administration and education,41.5
2008-Q3,services,"community, social and personal services",health and social services,41.9
2008-Q3,services,"community, social and personal services","arts, entertainment and recreation",42.1
2008-Q3,services,"community, social and personal services","other community, social and personal services",44.2
2008-Q3,others,others,others,46.7
2008-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.2
2008-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.6
2008-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.9
2008-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",51.3
2008-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",44.2
2008-Q4,manufacturing,transport equipment,transport equipment,52.7
2008-Q4,manufacturing,other manufacturing industries,other manufacturing industries,49.2
2008-Q4,construction,construction,construction,52.3
2008-Q4,services,wholesale and retail trade,wholesale trade,43.7
2008-Q4,services,wholesale and retail trade,retail trade,44
2008-Q4,services,transportation and storage,land transport and supporting services,47.5
2008-Q4,services,transportation and storage,water transport and supporting services,45.7
2008-Q4,services,transportation and storage,air transport and supporting services,43.8
2008-Q4,services,transportation and storage,other transport and storage services,46.2
2008-Q4,services,accommodation and food services,accommodation,45
2008-Q4,services,accommodation and food services,food and beverage services,40.7
2008-Q4,services,information and communications,"telecommunications, broadcasting and publishing",41.4
2008-Q4,services,information and communications,it and other information services,41.2
2008-Q4,services,financial and insurance services,financial services,42.4
2008-Q4,services,financial and insurance services,insurance services,40.1
2008-Q4,services,real estate services,real estate services,44.2
2008-Q4,services,professional services,"legal, accounting and management services",41.4
2008-Q4,services,professional services,architectural and engineering services,46
2008-Q4,services,professional services,other professional services,42.1
2008-Q4,services,administrative and support services,security and investigation,54.1
2008-Q4,services,administrative and support services,cleaning and landscaping,44.1
2008-Q4,services,administrative and support services,other adminstrative and support services,44.8
2008-Q4,services,"community, social and personal services",public administration and education,41.4
2008-Q4,services,"community, social and personal services",health and social services,42
2008-Q4,services,"community, social and personal services","arts, entertainment and recreation",41.9
2008-Q4,services,"community, social and personal services","other community, social and personal services",43.8
2008-Q4,others,others,others,46.9
2009-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.3
2009-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",46.8
2009-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.8
2009-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50.1
2009-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",43.3
2009-Q1,manufacturing,transport equipment,transport equipment,52.4
2009-Q1,manufacturing,other manufacturing industries,other manufacturing industries,48.5
2009-Q1,construction,construction,construction,52.1
2009-Q1,services,wholesale and retail trade,wholesale trade,43.4
2009-Q1,services,wholesale and retail trade,retail trade,43.9
2009-Q1,services,transportation and storage,land transport and supporting services,47.3
2009-Q1,services,transportation and storage,water transport and supporting services,44.9
2009-Q1,services,transportation and storage,air transport and supporting services,43.3
2009-Q1,services,transportation and storage,other transport and storage services,45.1
2009-Q1,services,accommodation and food services,accommodation,44.7
2009-Q1,services,accommodation and food services,food and beverage services,39.6
2009-Q1,services,information and communications,"telecommunications, broadcasting and publishing",41.4
2009-Q1,services,information and communications,it and other information services,41.6
2009-Q1,services,financial and insurance services,financial services,42.3
2009-Q1,services,financial and insurance services,insurance services,40.2
2009-Q1,services,real estate services,real estate services,44.2
2009-Q1,services,professional services,"legal, accounting and management services",41.2
2009-Q1,services,professional services,architectural and engineering services,46
2009-Q1,services,professional services,other professional services,42.2
2009-Q1,services,administrative and support services,security and investigation,54.2
2009-Q1,services,administrative and support services,cleaning and landscaping,44
2009-Q1,services,administrative and support services,other adminstrative and support services,44.7
2009-Q1,services,"community, social and personal services",public administration and education,41.5
2009-Q1,services,"community, social and personal services",health and social services,41.8
2009-Q1,services,"community, social and personal services","arts, entertainment and recreation",41.6
2009-Q1,services,"community, social and personal services","other community, social and personal services",43.4
2009-Q1,others,others,others,46.3
2009-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.7
2009-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.9
2009-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.4
2009-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",50.8
2009-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",45.7
2009-Q2,manufacturing,transport equipment,transport equipment,51.1
2009-Q2,manufacturing,other manufacturing industries,other manufacturing industries,48.7
2009-Q2,construction,construction,construction,52.1
2009-Q2,services,wholesale and retail trade,wholesale trade,43.7
2009-Q2,services,wholesale and retail trade,retail trade,44.5
2009-Q2,services,transportation and storage,land transport and supporting services,46.9
2009-Q2,services,transportation and storage,water transport and supporting services,45.1
2009-Q2,services,transportation and storage,air transport and supporting services,43.7
2009-Q2,services,transportation and storage,other transport and storage services,45.6
2009-Q2,services,accommodation and food services,accommodation,44.6
2009-Q2,services,accommodation and food services,food and beverage services,40.6
2009-Q2,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2009-Q2,services,information and communications,it and other information services,41.2
2009-Q2,services,financial and insurance services,financial services,42.4
2009-Q2,services,financial and insurance services,insurance services,40.6
2009-Q2,services,real estate services,real estate services,44.1
2009-Q2,services,professional services,"legal, accounting and management services",41.2
2009-Q2,services,professional services,architectural and engineering services,46.2
2009-Q2,services,professional services,other professional services,42.3
2009-Q2,services,administrative and support services,security and investigation,54.4
2009-Q2,services,administrative and support services,cleaning and landscaping,43.8
2009-Q2,services,administrative and support services,other adminstrative and support services,44.5
2009-Q2,services,"community, social and personal services",public administration and education,41.5
2009-Q2,services,"community, social and personal services",health and social services,42
2009-Q2,services,"community, social and personal services","arts, entertainment and recreation",41.8
2009-Q2,services,"community, social and personal services","other community, social and personal services",43.4
2009-Q2,others,others,others,46.7
2009-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.9
2009-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",49.5
2009-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45
2009-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",51.3
2009-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.5
2009-Q3,manufacturing,transport equipment,transport equipment,51.9
2009-Q3,manufacturing,other manufacturing industries,other manufacturing industries,49.8
2009-Q3,construction,construction,construction,52.3
2009-Q3,services,wholesale and retail trade,wholesale trade,43.6
2009-Q3,services,wholesale and retail trade,retail trade,43.5
2009-Q3,services,transportation and storage,land transport and supporting services,47.5
2009-Q3,services,transportation and storage,water transport and supporting services,44.5
2009-Q3,services,transportation and storage,air transport and supporting services,43.2
2009-Q3,services,transportation and storage,other transport and storage services,46.3
2009-Q3,services,accommodation and food services,accommodation,45
2009-Q3,services,accommodation and food services,food and beverage services,40.4
2009-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.8
2009-Q3,services,information and communications,it and other information services,41.6
2009-Q3,services,financial and insurance services,financial services,42
2009-Q3,services,financial and insurance services,insurance services,40.4
2009-Q3,services,real estate services,real estate services,44.3
2009-Q3,services,professional services,"legal, accounting and management services",41.3
2009-Q3,services,professional services,architectural and engineering services,46.3
2009-Q3,services,professional services,other professional services,42.3
2009-Q3,services,administrative and support services,security and investigation,56.6
2009-Q3,services,administrative and support services,cleaning and landscaping,44.2
2009-Q3,services,administrative and support services,other adminstrative and support services,45.8
2009-Q3,services,"community, social and personal services",public administration and education,41.5
2009-Q3,services,"community, social and personal services",health and social services,42
2009-Q3,services,"community, social and personal services","arts, entertainment and recreation",42
2009-Q3,services,"community, social and personal services","other community, social and personal services",43.9
2009-Q3,others,others,others,46.6
2009-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4
2009-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",49.9
2009-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",46
2009-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52
2009-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.8
2009-Q4,manufacturing,transport equipment,transport equipment,53.1
2009-Q4,manufacturing,other manufacturing industries,other manufacturing industries,50.1
2009-Q4,construction,construction,construction,52.3
2009-Q4,services,wholesale and retail trade,wholesale trade,43.9
2009-Q4,services,wholesale and retail trade,retail trade,43.4
2009-Q4,services,transportation and storage,land transport and supporting services,46.4
2009-Q4,services,transportation and storage,water transport and supporting services,45.1
2009-Q4,services,transportation and storage,air transport and supporting services,43.5
2009-Q4,services,transportation and storage,other transport and storage services,47
2009-Q4,services,accommodation and food services,accommodation,45.2
2009-Q4,services,accommodation and food services,food and beverage services,39.6
2009-Q4,services,information and communications,"telecommunications, broadcasting and publishing",41.8
2009-Q4,services,information and communications,it and other information services,41.5
2009-Q4,services,financial and insurance services,financial services,42
2009-Q4,services,financial and insurance services,insurance services,40.6
2009-Q4,services,real estate services,real estate services,44.4
2009-Q4,services,professional services,"legal, accounting and management services",40.9
2009-Q4,services,professional services,architectural and engineering services,45
2009-Q4,services,professional services,other professional services,41.9
2009-Q4,services,administrative and support services,security and investigation,54.8
2009-Q4,services,administrative and support services,cleaning and landscaping,43.8
2009-Q4,services,administrative and support services,other adminstrative and support services,45.3
2009-Q4,services,"community, social and personal services",public administration and education,41.5
2009-Q4,services,"community, social and personal services",health and social services,41.8
2009-Q4,services,"community, social and personal services","arts, entertainment and recreation",42.3
2009-Q4,services,"community, social and personal services","other community, social and personal services",43.4
2009-Q4,others,others,others,46.1
2010-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.7
2010-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",49.8
2010-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.9
2010-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.4
2010-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.4
2010-Q1,manufacturing,transport equipment,transport equipment,53.7
2010-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.7
2010-Q1,construction,construction,construction,52.3
2010-Q1,services,wholesale and retail trade,wholesale trade,43.8
2010-Q1,services,wholesale and retail trade,retail trade,43.7
2010-Q1,services,transportation and storage,land transport and supporting services,47.1
2010-Q1,services,transportation and storage,water transport and supporting services,45
2010-Q1,services,transportation and storage,air transport and supporting services,44.2
2010-Q1,services,transportation and storage,other transport and storage services,46.5
2010-Q1,services,accommodation and food services,accommodation,45.1
2010-Q1,services,accommodation and food services,food and beverage services,39.7
2010-Q1,services,information and communications,"telecommunications, broadcasting and publishing",41.9
2010-Q1,services,information and communications,it and other information services,41.6
2010-Q1,services,financial and insurance services,financial services,41.4
2010-Q1,services,financial and insurance services,insurance services,40
2010-Q1,services,real estate services,real estate services,44.5
2010-Q1,services,professional services,"legal, accounting and management services",40.9
2010-Q1,services,professional services,architectural and engineering services,45.6
2010-Q1,services,professional services,other professional services,42
2010-Q1,services,administrative and support services,security and investigation,55.2
2010-Q1,services,administrative and support services,cleaning and landscaping,44.5
2010-Q1,services,administrative and support services,other adminstrative and support services,46.4
2010-Q1,services,"community, social and personal services",public administration and education,41.5
2010-Q1,services,"community, social and personal services",health and social services,41.9
2010-Q1,services,"community, social and personal services","arts, entertainment and recreation",42.3
2010-Q1,services,"community, social and personal services","other community, social and personal services",43.6
2010-Q1,others,others,others,45.9
2010-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.9
2010-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50.9
2010-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",46.1
2010-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",53
2010-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.2
2010-Q2,manufacturing,transport equipment,transport equipment,53.8
2010-Q2,manufacturing,other manufacturing industries,other manufacturing industries,49.7
2010-Q2,construction,construction,construction,52.6
2010-Q2,services,wholesale and retail trade,wholesale trade,43.7
2010-Q2,services,wholesale and retail trade,retail trade,43.7
2010-Q2,services,transportation and storage,land transport and supporting services,47.1
2010-Q2,services,transportation and storage,water transport and supporting services,44.7
2010-Q2,services,transportation and storage,air transport and supporting services,44
2010-Q2,services,transportation and storage,other transport and storage services,47.1
2010-Q2,services,accommodation and food services,accommodation,45.4
2010-Q2,services,accommodation and food services,food and beverage services,39.5
2010-Q2,services,information and communications,"telecommunications, broadcasting and publishing",42
2010-Q2,services,information and communications,it and other information services,41.3
2010-Q2,services,financial and insurance services,financial services,41.4
2010-Q2,services,financial and insurance services,insurance services,40.4
2010-Q2,services,real estate services,real estate services,44.8
2010-Q2,services,professional services,"legal, accounting and management services",41
2010-Q2,services,professional services,architectural and engineering services,45.2
2010-Q2,services,professional services,other professional services,42.2
2010-Q2,services,administrative and support services,security and investigation,55.6
2010-Q2,services,administrative and support services,cleaning and landscaping,44.4
2010-Q2,services,administrative and support services,other adminstrative and support services,45.6
2010-Q2,services,"community, social and personal services",public administration and education,41.5
2010-Q2,services,"community, social and personal services",health and social services,41.9
2010-Q2,services,"community, social and personal services","arts, entertainment and recreation",42.4
2010-Q2,services,"community, social and personal services","other community, social and personal services",43.7
2010-Q2,others,others,others,46.3
2010-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4
2010-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50.1
2010-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.8
2010-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.9
2010-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.4
2010-Q3,manufacturing,transport equipment,transport equipment,52.5
2010-Q3,manufacturing,other manufacturing industries,other manufacturing industries,49.8
2010-Q3,construction,construction,construction,52.3
2010-Q3,services,wholesale and retail trade,wholesale trade,43.9
2010-Q3,services,wholesale and retail trade,retail trade,44.3
2010-Q3,services,transportation and storage,land transport and supporting services,48.1
2010-Q3,services,transportation and storage,water transport and supporting services,44.6
2010-Q3,services,transportation and storage,air transport and supporting services,43.6
2010-Q3,services,transportation and storage,other transport and storage services,46.6
2010-Q3,services,accommodation and food services,accommodation,45.5
2010-Q3,services,accommodation and food services,food and beverage services,40.5
2010-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.8
2010-Q3,services,information and communications,it and other information services,41.8
2010-Q3,services,financial and insurance services,financial services,41.9
2010-Q3,services,financial and insurance services,insurance services,40.3
2010-Q3,services,real estate services,real estate services,44.7
2010-Q3,services,professional services,"legal, accounting and management services",41.2
2010-Q3,services,professional services,architectural and engineering services,46
2010-Q3,services,professional services,other professional services,42.6
2010-Q3,services,administrative and support services,security and investigation,55.2
2010-Q3,services,administrative and support services,cleaning and landscaping,45.2
2010-Q3,services,administrative and support services,other adminstrative and support services,46
2010-Q3,services,"community, social and personal services",public administration and education,41.4
2010-Q3,services,"community, social and personal services",health and social services,42
2010-Q3,services,"community, social and personal services","arts, entertainment and recreation",42.4
2010-Q3,services,"community, social and personal services","other community, social and personal services",44
2010-Q3,others,others,others,46.7
2010-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",48.1
2010-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",49.3
2010-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",46.6
2010-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.4
2010-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.2
2010-Q4,manufacturing,transport equipment,transport equipment,53.5
2010-Q4,manufacturing,other manufacturing industries,other manufacturing industries,50.2
2010-Q4,construction,construction,construction,52.5
2010-Q4,services,wholesale and retail trade,wholesale trade,43.9
2010-Q4,services,wholesale and retail trade,retail trade,43.5
2010-Q4,services,transportation and storage,land transport and supporting services,48.1
2010-Q4,services,transportation and storage,water transport and supporting services,44.4
2010-Q4,services,transportation and storage,air transport and supporting services,43
2010-Q4,services,transportation and storage,other transport and storage services,46.8
2010-Q4,services,accommodation and food services,accommodation,45.8
2010-Q4,services,accommodation and food services,food and beverage services,39.7
2010-Q4,services,information and communications,"telecommunications, broadcasting and publishing",41.2
2010-Q4,services,information and communications,it and other information services,41.7
2010-Q4,services,financial and insurance services,financial services,41.5
2010-Q4,services,financial and insurance services,insurance services,40.8
2010-Q4,services,real estate services,real estate services,45
2010-Q4,services,professional services,"legal, accounting and management services",40.8
2010-Q4,services,professional services,architectural and engineering services,45.8
2010-Q4,services,professional services,other professional services,43.1
2010-Q4,services,administrative and support services,security and investigation,54.7
2010-Q4,services,administrative and support services,cleaning and landscaping,45.2
2010-Q4,services,administrative and support services,other adminstrative and support services,46.8
2010-Q4,services,"community, social and personal services",public administration and education,41.4
2010-Q4,services,"community, social and personal services",health and social services,42
2010-Q4,services,"community, social and personal services","arts, entertainment and recreation",43.2
2010-Q4,services,"community, social and personal services","other community, social and personal services",44.5
2010-Q4,others,others,others,46.2
2011-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.9
2011-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",49.4
2011-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.8
2011-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.4
